concept,action,train_end,test_start,test_end,threshold,n,wins,losses,wr,pf_gross,pf_after_2t,wilson_low
CONT_open_drive,CONT,2025-07-08,2025-07-09,2025-09-02,0.0,40,17,23,0.425,0.7391304347826086,0.6467391304347826,0.28509392559950375
CONT_open_drive,CONT,2025-09-02,2025-09-03,2025-10-29,0.0,40,16,24,0.4,0.6666666666666666,0.5833333333333334,0.26348325684291923
CONT_open_drive,CONT,2025-10-29,2025-10-30,2025-12-26,0.0,40,25,15,0.625,1.6666666666666667,1.4583333333333333,0.4703243913730111
CONT_open_drive,CONT,2025-12-26,2025-12-29,2026-02-23,0.0,40,17,23,0.425,0.7391304347826086,0.6467391304347826,0.28509392559950375
CONT_open_drive,CONT,2026-02-23,2026-02-24,2026-04-22,0.0,40,21,19,0.525,1.105263157894737,0.9671052631578947,0.3749736210669248
CONT_open_drive,CONT,2026-04-22,2026-04-23,2026-06-17,0.0,40,23,17,0.575,1.3529411764705883,1.1838235294117647,0.42195068541991076
CONT_open_drive,CONT,2026-06-17,2026-06-19,2026-06-26,0.0,6,4,2,0.6666666666666666,2.0,1.75,0.2999933151383921
CONT_price_alignment,CONT,2025-07-08,2025-07-09,2025-09-02,0.1265,35,17,18,0.4857142857142857,0.9444444444444444,0.8263888888888888,0.32994236002509736
CONT_price_alignment,CONT,2025-09-02,2025-09-03,2025-10-29,0.8443169398907104,15,4,11,0.26666666666666666,0.36363636363636365,0.3181818181818182,0.10897453325692372
CONT_price_alignment,CONT,2025-10-29,2025-10-30,2025-12-26,0.11554225189960858,37,23,14,0.6216216216216216,1.6428571428571428,1.4375,0.46100430439217654
CONT_price_alignment,CONT,2025-12-26,2025-12-29,2026-02-23,0.11751025991792065,36,15,21,0.4166666666666667,0.7142857142857143,0.625,0.2714056205144606
CONT_price_alignment,CONT,2026-02-23,2026-02-24,2026-04-22,0.11751025991792066,36,19,17,0.5277777777777778,1.1176470588235294,0.9779411764705882,0.37005938022987606
CONT_price_alignment,CONT,2026-04-22,2026-04-23,2026-06-17,0.11751025991792066,36,21,15,0.5833333333333334,1.4,1.225,0.4220025157487167
CONT_price_alignment,CONT,2026-06-17,2026-06-19,2026-06-26,0.11751025991792066,4,3,1,0.75,3.0,2.625,0.300641842582402
CONT_flow_alignment,CONT,2025-07-08,2025-07-09,2025-09-02,-0.17647058823529413,40,17,23,0.425,0.7391304347826086,0.6467391304347826,0.28509392559950375
CONT_flow_alignment,CONT,2025-09-02,2025-09-03,2025-10-29,-0.17647058823529413,40,16,24,0.4,0.6666666666666666,0.5833333333333334,0.26348325684291923
CONT_flow_alignment,CONT,2025-10-29,2025-10-30,2025-12-26,-0.17647058823529413,40,25,15,0.625,1.6666666666666667,1.4583333333333333,0.4703243913730111
CONT_flow_alignment,CONT,2025-12-26,2025-12-29,2026-02-23,-0.17647058823529413,40,17,23,0.425,0.7391304347826086,0.6467391304347826,0.28509392559950375
CONT_flow_alignment,CONT,2026-02-23,2026-02-24,2026-04-22,-0.17647058823529413,40,21,19,0.525,1.105263157894737,0.9671052631578947,0.3749736210669248
CONT_flow_alignment,CONT,2026-04-22,2026-04-23,2026-06-17,-0.17647058823529413,40,23,17,0.575,1.3529411764705883,1.1838235294117647,0.42195068541991076
CONT_flow_alignment,CONT,2026-06-17,2026-06-19,2026-06-26,-0.17647058823529413,6,4,2,0.6666666666666666,2.0,1.75,0.2999933151383921
CONT_late_flow_alignment,CONT,2025-07-08,2025-07-09,2025-09-02,-0.23120973514674303,40,17,23,0.425,0.7391304347826086,0.6467391304347826,0.28509392559950375
CONT_late_flow_alignment,CONT,2025-09-02,2025-09-03,2025-10-29,-0.23120973514674303,40,16,24,0.4,0.6666666666666666,0.5833333333333334,0.26348325684291923
CONT_late_flow_alignment,CONT,2025-10-29,2025-10-30,2025-12-26,-0.23120973514674303,39,24,15,0.6153846153846154,1.6,1.4,0.45899061456925083
CONT_late_flow_alignment,CONT,2025-12-26,2025-12-29,2026-02-23,-0.27941176470588236,40,17,23,0.425,0.7391304347826086,0.6467391304347826,0.28509392559950375
CONT_late_flow_alignment,CONT,2026-02-23,2026-02-24,2026-04-22,-0.27941176470588236,40,21,19,0.525,1.105263157894737,0.9671052631578947,0.3749736210669248
CONT_late_flow_alignment,CONT,2026-04-22,2026-04-23,2026-06-17,-0.27941176470588236,40,23,17,0.575,1.3529411764705883,1.1838235294117647,0.42195068541991076
CONT_late_flow_alignment,CONT,2026-06-17,2026-06-19,2026-06-26,-0.27941176470588236,6,4,2,0.6666666666666666,2.0,1.75,0.2999933151383921
CONT_flow_persistence,CONT,2025-07-08,2025-07-09,2025-09-02,0.028840268702320794,35,17,18,0.4857142857142857,0.9444444444444444,0.8263888888888888,0.32994236002509736
CONT_flow_persistence,CONT,2025-09-02,2025-09-03,2025-10-29,0.02850415279430114,35,13,22,0.37142857142857144,0.5909090909090909,0.5170454545454546,0.23165819503365723
CONT_flow_persistence,CONT,2025-10-29,2025-10-30,2025-12-26,0.02794826566255702,37,23,14,0.6216216216216216,1.6428571428571428,1.4375,0.46100430439217654
CONT_flow_persistence,CONT,2025-12-26,2025-12-29,2026-02-23,0.02850415279430114,37,15,22,0.40540540540540543,0.6818181818181818,0.5965909090909091,0.26346518192014284
CONT_flow_persistence,CONT,2026-02-23,2026-02-24,2026-04-22,0.028840268702320794,36,19,17,0.5277777777777778,1.1176470588235294,0.9779411764705882,0.37005938022987606
CONT_flow_persistence,CONT,2026-04-22,2026-04-23,2026-06-17,0.028840268702320794,36,21,15,0.5833333333333334,1.4,1.225,0.4220025157487167
CONT_flow_persistence,CONT,2026-06-17,2026-06-19,2026-06-26,0.028840268702320794,4,3,1,0.75,3.0,2.625,0.300641842582402
CONT_initiative_profile,CONT,2025-07-08,2025-07-09,2025-09-02,-1.0,40,17,23,0.425,0.7391304347826086,0.6467391304347826,0.28509392559950375
CONT_initiative_profile,CONT,2025-09-02,2025-09-03,2025-10-29,-1.0,40,16,24,0.4,0.6666666666666666,0.5833333333333334,0.26348325684291923
CONT_initiative_profile,CONT,2025-10-29,2025-10-30,2025-12-26,-1.0,40,25,15,0.625,1.6666666666666667,1.4583333333333333,0.4703243913730111
CONT_initiative_profile,CONT,2025-12-26,2025-12-29,2026-02-23,-0.9999999278522549,29,13,16,0.4482758620689655,0.8125,0.7109375,0.28413168023037205
CONT_initiative_profile,CONT,2026-02-23,2026-02-24,2026-04-22,-0.9999998886955213,28,15,13,0.5357142857142857,1.1538461538461537,1.0096153846153846,0.35812689234467915
CONT_initiative_profile,CONT,2026-04-22,2026-04-23,2026-06-17,-0.9999998886955213,22,11,11,0.5,1.0,0.875,0.30722106273725025
CONT_initiative_profile,CONT,2026-06-17,2026-06-19,2026-06-26,1.9999999984537256,1,0,1,0.0,0.0,0.0,0.0
CONT_responsive_to_value,CONT,2025-07-08,2025-07-09,2025-09-02,1.0,22,9,13,0.4090909090909091,0.6923076923076923,0.6057692307692307,0.23255816196471876
CONT_responsive_to_value,CONT,2025-09-02,2025-09-03,2025-10-29,0.0,40,16,24,0.4,0.6666666666666666,0.5833333333333334,0.26348325684291923
CONT_responsive_to_value,CONT,2025-10-29,2025-10-30,2025-12-26,1.0,14,6,8,0.42857142857142855,0.75,0.65625,0.21380798904474121
CONT_responsive_to_value,CONT,2025-12-26,2025-12-29,2026-02-23,0.0,40,17,23,0.425,0.7391304347826086,0.6467391304347826,0.28509392559950375
CONT_responsive_to_value,CONT,2026-02-23,2026-02-24,2026-04-22,0.0,40,21,19,0.525,1.105263157894737,0.9671052631578947,0.3749736210669248
CONT_responsive_to_value,CONT,2026-04-22,2026-04-23,2026-06-17,0.0,40,23,17,0.575,1.3529411764705883,1.1838235294117647,0.42195068541991076
CONT_responsive_to_value,CONT,2026-06-17,2026-06-19,2026-06-26,0.0,6,4,2,0.6666666666666666,2.0,1.75,0.2999933151383921
FADE_absorption_alignment,FADE,2025-07-08,2025-07-09,2025-09-02,0.0,27,14,13,0.5185185185185185,1.0769230769230769,0.9423076923076923,0.3398561575495229
FADE_absorption_alignment,FADE,2025-09-02,2025-09-03,2025-10-29,0.0,30,20,10,0.6666666666666666,2.0,1.75,0.4878005164454384
FADE_absorption_alignment,FADE,2025-10-29,2025-10-30,2025-12-26,0.0,30,11,19,0.36666666666666664,0.5789473684210527,0.506578947368421,0.21873920806100713
FADE_absorption_alignment,FADE,2025-12-26,2025-12-29,2026-02-23,0.0,30,19,11,0.6333333333333333,1.7272727272727273,1.5113636363636365,0.45513563654794875
FADE_absorption_alignment,FADE,2026-02-23,2026-02-24,2026-04-22,0.0,35,16,19,0.45714285714285713,0.8421052631578947,0.7368421052631579,0.3046601928840722
FADE_absorption_alignment,FADE,2026-04-22,2026-04-23,2026-06-17,0.0,32,14,18,0.4375,0.7777777777777778,0.6805555555555556,0.2816533111504037
FADE_absorption_alignment,FADE,2026-06-17,2026-06-19,2026-06-26,0.0,4,2,2,0.5,1.0,0.875,0.15003898915214958
FADE_trapped_alignment,FADE,2025-07-08,2025-07-09,2025-09-02,-1.0,40,23,17,0.575,1.3529411764705883,1.1838235294117647,0.42195068541991076
FADE_trapped_alignment,FADE,2025-09-02,2025-09-03,2025-10-29,-1.0,40,24,16,0.6,1.5,1.3125,0.4459589366034619
FADE_trapped_alignment,FADE,2025-10-29,2025-10-30,2025-12-26,-1.0,40,15,25,0.375,0.6,0.525,0.24222979167233274
FADE_trapped_alignment,FADE,2025-12-26,2025-12-29,2026-02-23,-1.0,40,23,17,0.575,1.3529411764705883,1.1838235294117647,0.42195068541991076
FADE_trapped_alignment,FADE,2026-02-23,2026-02-24,2026-04-22,-1.0,40,19,21,0.475,0.9047619047619048,0.7916666666666666,0.3293547011267891
FADE_trapped_alignment,FADE,2026-04-22,2026-04-23,2026-06-17,-1.0,40,17,23,0.425,0.7391304347826086,0.6467391304347826,0.28509392559950375
FADE_trapped_alignment,FADE,2026-06-17,2026-06-19,2026-06-26,-1.0,6,2,4,0.3333333333333333,0.5,0.4375,0.09677141110578047
FADE_iceberg_alignment,FADE,2025-07-08,2025-07-09,2025-09-02,0.0,40,23,17,0.575,1.3529411764705883,1.1838235294117647,0.42195068541991076
FADE_iceberg_alignment,FADE,2025-09-02,2025-09-03,2025-10-29,0.0,40,24,16,0.6,1.5,1.3125,0.4459589366034619
FADE_iceberg_alignment,FADE,2025-10-29,2025-10-30,2025-12-26,0.0,40,15,25,0.375,0.6,0.525,0.24222979167233274
FADE_iceberg_alignment,FADE,2025-12-26,2025-12-29,2026-02-23,0.0,40,23,17,0.575,1.3529411764705883,1.1838235294117647,0.42195068541991076
FADE_iceberg_alignment,FADE,2026-02-23,2026-02-24,2026-04-22,0.0,40,19,21,0.475,0.9047619047619048,0.7916666666666666,0.3293547011267891
FADE_iceberg_alignment,FADE,2026-04-22,2026-04-23,2026-06-17,0.0,40,17,23,0.425,0.7391304347826086,0.6467391304347826,0.28509392559950375
FADE_iceberg_alignment,FADE,2026-06-17,2026-06-19,2026-06-26,0.0,6,2,4,0.3333333333333333,0.5,0.4375,0.09677141110578047
FADE_edge_rejection,FADE,2025-07-08,2025-07-09,2025-09-02,0.0,40,23,17,0.575,1.3529411764705883,1.1838235294117647,0.42195068541991076
FADE_edge_rejection,FADE,2025-09-02,2025-09-03,2025-10-29,0.0,40,24,16,0.6,1.5,1.3125,0.4459589366034619
FADE_edge_rejection,FADE,2025-10-29,2025-10-30,2025-12-26,0.0,40,15,25,0.375,0.6,0.525,0.24222979167233274
FADE_edge_rejection,FADE,2025-12-26,2025-12-29,2026-02-23,0.0,40,23,17,0.575,1.3529411764705883,1.1838235294117647,0.42195068541991076
FADE_edge_rejection,FADE,2026-02-23,2026-02-24,2026-04-22,0.0,40,19,21,0.475,0.9047619047619048,0.7916666666666666,0.3293547011267891
FADE_edge_rejection,FADE,2026-04-22,2026-04-23,2026-06-17,0.0,40,17,23,0.425,0.7391304347826086,0.6467391304347826,0.28509392559950375
FADE_edge_rejection,FADE,2026-06-17,2026-06-19,2026-06-26,0.0,6,2,4,0.3333333333333333,0.5,0.4375,0.09677141110578047
FADE_open_auction,FADE,2025-07-08,2025-07-09,2025-09-02,0.038157993180013484,30,20,10,0.6666666666666666,2.0,1.75,0.4878005164454384
FADE_open_auction,FADE,2025-09-02,2025-09-03,2025-10-29,0.052125593651283324,25,13,12,0.52,1.0833333333333333,0.9479166666666666,0.3349851695035678
FADE_open_auction,FADE,2025-10-29,2025-10-30,2025-12-26,0.05054114501122382,26,8,18,0.3076923076923077,0.4444444444444444,0.3888888888888889,0.1650131559546377
FADE_open_auction,FADE,2025-12-26,2025-12-29,2026-02-23,0.0,40,23,17,0.575,1.3529411764705883,1.1838235294117647,0.42195068541991076
